ZONA,RUTA,CUENTA,FECHA_IMPRESION,FOLIO,PERIODO
ZONA_01,001,85001,,FAC-001,2026-08
ZONA_01,001,85002,,FAC-002,2026-08
ZONA_01,001,85003,,FAC-003,2026-08
ZONA_01,001,85004,2026-08-22,FAC-004,2026-08
ZONA_01,001,85005,2026-08-22,FAC-005,2026-08
ZONA_01,002,85006,,FAC-006,2026-08
ZONA_01,002,85007,,FAC-007,2026-08
ZONA_01,002,85008,2026-08-23,FAC-008,2026-08
ZONA_01,002,85009,2026-08-23,FAC-009,2026-08
ZONA_01,002,85010,2026-08-23,FAC-010,2026-08
ZONA_01,003,85011,,FAC-011,2026-08
ZONA_01,003,85012,,FAC-012,2026-08
ZONA_01,003,85013,,FAC-013,2026-08
ZONA_01,003,85014,2026-08-24,FAC-014,2026-08
ZONA_01,003,85015,2026-08-24,FAC-015,2026-08
ZONA_01,004,85016,,FAC-016,2026-08
ZONA_01,004,85017,2026-08-22,FAC-017,2026-08
ZONA_01,004,85018,2026-08-22,FAC-018,2026-08
ZONA_01,004,85019,2026-08-22,FAC-019,2026-08
ZONA_01,004,85020,2026-08-22,FAC-020,2026-08
ZONA_01,005,85021,,FAC-021,2026-08
ZONA_01,005,85022,,FAC-022,2026-08
ZONA_01,005,85023,2026-08-25,FAC-023,2026-08
ZONA_01,005,85024,2026-08-25,FAC-024,2026-08
ZONA_01,005,85025,2026-08-25,FAC-025,2026-08
ZONA_02,006,86001,,FAC-026,2026-08
ZONA_02,006,86002,,FAC-027,2026-08
ZONA_02,006,86003,,FAC-028,2026-08
ZONA_02,006,86004,2026-08-21,FAC-029,2026-08
ZONA_02,006,86005,2026-08-21,FAC-030,2026-08
ZONA_02,007,86006,,FAC-031,2026-08
ZONA_02,007,86007,,FAC-032,2026-08
ZONA_02,007,86008,,FAC-033,2026-08
ZONA_02,007,86009,,FAC-034,2026-08
ZONA_02,007,86010,,FAC-035,2026-08
ZONA_02,008,86011,2026-08-26,FAC-036,2026-08
ZONA_02,008,86012,2026-08-26,FAC-037,2026-08
ZONA_02,008,86013,2026-08-26,FAC-038,2026-08
ZONA_02,008,86014,2026-08-26,FAC-039,2026-08
ZONA_02,008,86015,2026-08-26,FAC-040,2026-08
ZONA_02,009,86016,,FAC-041,2026-08
ZONA_02,009,86017,,FAC-042,2026-08
ZONA_02,009,86018,,FAC-043,2026-08
ZONA_02,009,86019,,FAC-044,2026-08
ZONA_02,009,86020,,FAC-045,2026-08
ZONA_02,010,86021,2026-08-27,FAC-046,2026-08
ZONA_02,010,86022,2026-08-27,FAC-047,2026-08
ZONA_02,010,86023,2026-08-27,FAC-048,2026-08
ZONA_02,010,86024,2026-08-27,FAC-049,2026-08
ZONA_02,010,86025,,FAC-050,2026-08
ZONA_03,011,87001,,FAC-051,2026-08
ZONA_03,011,87002,,FAC-052,2026-08
ZONA_03,011,87003,2026-08-23,FAC-053,2026-08
ZONA_03,011,87004,2026-08-23,FAC-054,2026-08
ZONA_03,011,87005,2026-08-23,FAC-055,2026-08
ZONA_03,012,87006,,FAC-056,2026-08
ZONA_03,012,87007,2026-08-24,FAC-057,2026-08
ZONA_03,012,87008,2026-08-24,FAC-058,2026-08
ZONA_03,012,87009,2026-08-24,FAC-059,2026-08
ZONA_03,012,87010,,FAC-060,2026-08
ZONA_03,013,87011,,FAC-061,2026-08
ZONA_03,013,87012,,FAC-062,2026-08
ZONA_03,013,87013,,FAC-063,2026-08
ZONA_03,013,87014,,FAC-064,2026-08
ZONA_03,013,87015,,FAC-065,2026-08
ZONA_03,014,87016,2026-08-28,FAC-066,2026-08
ZONA_03,014,87017,2026-08-28,FAC-067,2026-08
ZONA_03,014,87018,2026-08-28,FAC-068,2026-08
ZONA_03,014,87019,2026-08-28,FAC-069,2026-08
ZONA_03,014,87020,,FAC-070,2026-08
ZONA_03,015,87021,,FAC-071,2026-08
ZONA_03,015,87022,,FAC-072,2026-08
ZONA_03,015,87023,2026-08-28,FAC-073,2026-08
ZONA_03,015,87024,2026-08-28,FAC-074,2026-08
ZONA_03,015,87025,2026-08-28,FAC-075,2026-08
ZONA_04,016,88001,,FAC-076,2026-08
ZONA_04,016,88002,,FAC-077,2026-08
ZONA_04,016,88003,,FAC-078,2026-08
ZONA_04,016,88004,,FAC-079,2026-08
ZONA_04,016,88005,,FAC-080,2026-08
ZONA_04,017,88006,2026-08-25,FAC-081,2026-08
ZONA_04,017,88007,2026-08-25,FAC-082,2026-08
ZONA_04,017,88008,2026-08-25,FAC-083,2026-08
ZONA_04,017,88009,2026-08-25,FAC-084,2026-08
ZONA_04,017,88010,2026-08-25,FAC-085,2026-08
ZONA_04,018,88011,,FAC-086,2026-08
ZONA_04,018,88012,,FAC-087,2026-08
ZONA_04,018,88013,,FAC-088,2026-08
ZONA_04,018,88014,,FAC-089,2026-08
ZONA_04,018,88015,,FAC-090,2026-08
ZONA_04,019,88016,2026-08-26,FAC-091,2026-08
ZONA_04,019,88017,2026-08-26,FAC-092,2026-08
ZONA_04,019,88018,2026-08-26,FAC-093,2026-08
ZONA_04,019,88019,,FAC-094,2026-08
ZONA_04,019,88020,,FAC-095,2026-08
ZONA_04,020,88021,,FAC-096,2026-08
ZONA_04,020,88022,,FAC-097,2026-08
ZONA_04,020,88023,,FAC-098,2026-08
ZONA_04,020,88024,2026-08-27,FAC-099,2026-08
ZONA_04,020,88025,2026-08-27,FAC-100,2026-08
ZONA_05,021,89001,,FAC-101,2026-08
ZONA_05,021,89002,,FAC-102,2026-08
ZONA_05,021,89003,,FAC-103,2026-08
ZONA_05,021,89004,2026-08-23,FAC-104,2026-08
ZONA_05,021,89005,2026-08-23,FAC-105,2026-08
ZONA_05,022,89006,2026-08-24,FAC-106,2026-08
ZONA_05,022,89007,2026-08-24,FAC-107,2026-08
ZONA_05,022,89008,2026-08-24,FAC-108,2026-08
ZONA_05,022,89009,,FAC-109,2026-08
ZONA_05,022,89010,,FAC-110,2026-08
ZONA_05,023,89011,,FAC-111,2026-08
ZONA_05,023,89012,,FAC-112,2026-08
ZONA_05,023,89013,,FAC-113,2026-08
ZONA_05,023,89014,,FAC-114,2026-08
ZONA_05,023,89015,2026-08-25,FAC-115,2026-08
ZONA_05,024,89016,,FAC-116,2026-08
ZONA_05,024,89017,,FAC-117,2026-08
ZONA_05,024,89018,,FAC-118,2026-08
ZONA_05,024,89019,2026-08-26,FAC-119,2026-08
ZONA_05,024,89020,2026-08-26,FAC-120,2026-08
ZONA_05,025,89021,2026-08-27,FAC-121,2026-08
ZONA_05,025,89022,2026-08-27,FAC-122,2026-08
