ZONA,RUTA,CUENTA,FECHA_PROGRAMADA,FECHA_LECTURA,LECTURA,ESTADO
ZONA_01,001,85001,2026-08-21,,0,FALTANTE
ZONA_01,001,85002,2026-08-21,,0,FALTANTE
ZONA_01,001,85003,2026-08-21,,0,FALTANTE
ZONA_01,001,85004,2026-08-21,2026-08-21,1234,LEIDA
ZONA_01,001,85005,2026-08-21,2026-08-21,1456,LEIDA
ZONA_01,002,85006,2026-08-21,,0,FALTANTE
ZONA_01,002,85007,2026-08-21,,0,FALTANTE
ZONA_01,002,85008,2026-08-21,2026-08-22,2345,LEIDA
ZONA_01,002,85009,2026-08-21,2026-08-22,2567,LEIDA
ZONA_01,002,85010,2026-08-21,2026-08-22,2789,LEIDA
ZONA_01,003,85011,2026-08-21,,0,FALTANTE
ZONA_01,003,85012,2026-08-21,,0,FALTANTE
ZONA_01,003,85013,2026-08-21,,0,FALTANTE
ZONA_01,003,85014,2026-08-21,2026-08-23,3456,LEIDA
ZONA_01,003,85015,2026-08-21,2026-08-23,3678,LEIDA
ZONA_01,004,85016,2026-08-21,,0,FALTANTE
ZONA_01,004,85017,2026-08-21,2026-08-21,4567,LEIDA
ZONA_01,004,85018,2026-08-21,2026-08-21,4789,LEIDA
ZONA_01,004,85019,2026-08-21,2026-08-21,4901,LEIDA
ZONA_01,004,85020,2026-08-21,2026-08-21,5012,LEIDA
ZONA_01,005,85021,2026-08-21,,0,FALTANTE
ZONA_01,005,85022,2026-08-21,,0,FALTANTE
ZONA_01,005,85023,2026-08-21,2026-08-24,5234,LEIDA
ZONA_01,005,85024,2026-08-21,2026-08-24,5456,LEIDA
ZONA_01,005,85025,2026-08-21,2026-08-24,5678,LEIDA
ZONA_02,006,86001,2026-08-21,,0,FALTANTE
ZONA_02,006,86002,2026-08-21,,0,FALTANTE
ZONA_02,006,86003,2026-08-21,,0,FALTANTE
ZONA_02,006,86004,2026-08-21,2026-08-20,6789,LEIDA
ZONA_02,006,86005,2026-08-21,2026-08-20,6901,LEIDA
ZONA_02,007,86006,2026-08-21,,0,FALTANTE
ZONA_02,007,86007,2026-08-21,,0,FALTANTE
ZONA_02,007,86008,2026-08-21,,0,FALTANTE
ZONA_02,007,86009,2026-08-21,,0,FALTANTE
ZONA_02,007,86010,2026-08-21,,0,FALTANTE
ZONA_02,008,86011,2026-08-21,2026-08-25,7012,LEIDA
ZONA_02,008,86012,2026-08-21,2026-08-25,7234,LEIDA
ZONA_02,008,86013,2026-08-21,2026-08-25,7456,LEIDA
ZONA_02,008,86014,2026-08-21,2026-08-25,7678,LEIDA
ZONA_02,008,86015,2026-08-21,2026-08-25,7890,LEIDA
ZONA_02,009,86016,2026-08-21,,0,FALTANTE
ZONA_02,009,86017,2026-08-21,,0,FALTANTE
ZONA_02,009,86018,2026-08-21,,0,FALTANTE
ZONA_02,009,86019,2026-08-21,,0,FALTANTE
ZONA_02,009,86020,2026-08-21,,0,FALTANTE
ZONA_02,010,86021,2026-08-21,2026-08-26,8012,LEIDA
ZONA_02,010,86022,2026-08-21,2026-08-26,8234,LEIDA
ZONA_02,010,86023,2026-08-21,2026-08-26,8456,LEIDA
ZONA_02,010,86024,2026-08-21,2026-08-26,8678,LEIDA
ZONA_02,010,86025,2026-08-21,,0,FALTANTE
ZONA_03,011,87001,2026-08-21,,0,FALTANTE
ZONA_03,011,87002,2026-08-21,,0,FALTANTE
ZONA_03,011,87003,2026-08-21,2026-08-22,8901,LEIDA
ZONA_03,011,87004,2026-08-21,2026-08-22,9012,LEIDA
ZONA_03,011,87005,2026-08-21,2026-08-22,9234,LEIDA
ZONA_03,012,87006,2026-08-21,,0,FALTANTE
ZONA_03,012,87007,2026-08-21,2026-08-23,9456,LEIDA
ZONA_03,012,87008,2026-08-21,2026-08-23,9678,LEIDA
ZONA_03,012,87009,2026-08-21,2026-08-23,9890,LEIDA
ZONA_03,012,87010,2026-08-21,,0,FALTANTE
ZONA_03,013,87011,2026-08-21,,0,FALTANTE
ZONA_03,013,87012,2026-08-21,,0,FALTANTE
ZONA_03,013,87013,2026-08-21,,0,FALTANTE
ZONA_03,013,87014,2026-08-21,,0,FALTANTE
ZONA_03,013,87015,2026-08-21,,0,FALTANTE
ZONA_03,014,87016,2026-08-21,2026-08-27,10012,LEIDA
ZONA_03,014,87017,2026-08-21,2026-08-27,10234,LEIDA
ZONA_03,014,87018,2026-08-21,2026-08-27,10456,LEIDA
ZONA_03,014,87019,2026-08-21,2026-08-27,10678,LEIDA
ZONA_03,014,87020,2026-08-21,,0,FALTANTE
ZONA_03,015,87021,2026-08-21,,0,FALTANTE
ZONA_03,015,87022,2026-08-21,,0,FALTANTE
ZONA_03,015,87023,2026-08-21,2026-08-28,10901,LEIDA
ZONA_03,015,87024,2026-08-21,2026-08-28,11012,LEIDA
ZONA_03,015,87025,2026-08-21,2026-08-28,11234,LEIDA
ZONA_04,016,88001,2026-08-21,,0,FALTANTE
ZONA_04,016,88002,2026-08-21,,0,FALTANTE
ZONA_04,016,88003,2026-08-21,,0,FALTANTE
ZONA_04,016,88004,2026-08-21,,0,FALTANTE
ZONA_04,016,88005,2026-08-21,,0,FALTANTE
ZONA_04,017,88006,2026-08-21,2026-08-24,11456,LEIDA
ZONA_04,017,88007,2026-08-21,2026-08-24,11678,LEIDA
ZONA_04,017,88008,2026-08-21,2026-08-24,11890,LEIDA
ZONA_04,017,88009,2026-08-21,2026-08-24,12012,LEIDA
ZONA_04,017,88010,2026-08-21,2026-08-24,12234,LEIDA
ZONA_04,018,88011,2026-08-21,,0,FALTANTE
ZONA_04,018,88012,2026-08-21,,0,FALTANTE
ZONA_04,018,88013,2026-08-21,,0,FALTANTE
ZONA_04,018,88014,2026-08-21,,0,FALTANTE
ZONA_04,018,88015,2026-08-21,,0,FALTANTE
ZONA_04,019,88016,2026-08-21,2026-08-25,12456,LEIDA
ZONA_04,019,88017,2026-08-21,2026-08-25,12678,LEIDA
ZONA_04,019,88018,2026-08-21,2026-08-25,12890,LEIDA
ZONA_04,019,88019,2026-08-21,,0,FALTANTE
ZONA_04,019,88020,2026-08-21,,0,FALTANTE
ZONA_04,020,88021,2026-08-21,,0,FALTANTE
ZONA_04,020,88022,2026-08-21,,0,FALTANTE
ZONA_04,020,88023,2026-08-21,,0,FALTANTE
ZONA_04,020,88024,2026-08-21,2026-08-26,13012,LEIDA
ZONA_04,020,88025,2026-08-21,2026-08-26,13234,LEIDA
ZONA_05,021,89001,2026-08-21,,0,FALTANTE
ZONA_05,021,89002,2026-08-21,,0,FALTANTE
ZONA_05,021,89003,2026-08-21,,0,FALTANTE
ZONA_05,021,89004,2026-08-21,2026-08-22,13456,LEIDA
ZONA_05,021,89005,2026-08-21,2026-08-22,13678,LEIDA
ZONA_05,022,89006,2026-08-21,2026-08-23,13890,LEIDA
ZONA_05,022,89007,2026-08-21,2026-08-23,14012,LEIDA
ZONA_05,022,89008,2026-08-21,2026-08-23,14234,LEIDA
ZONA_05,022,89009,2026-08-21,,0,FALTANTE
ZONA_05,022,89010,2026-08-21,,0,FALTANTE
ZONA_05,023,89011,2026-08-21,,0,FALTANTE
ZONA_05,023,89012,2026-08-21,,0,FALTANTE
ZONA_05,023,89013,2026-08-21,,0,FALTANTE
ZONA_05,023,89014,2026-08-21,,0,FALTANTE
